,Time,X Position,Y Position,Z Position,yaw
0,76.167145532,-0.2381357939376365,0.0104272411026797,1.884,-0.0360225196372123
1,76.227141322,-0.2381357938875195,0.0104272410292245,1.883,-0.0355571648438961
2,76.367136505,-0.2381357934419161,0.0104272414745312,1.881,-0.0329728787518383
3,76.387136505,-0.2381357931615533,0.0104272413756097,1.88,-0.0325131225165412
4,76.407136505,-0.238135792996313,0.0104272419198381,1.879,-0.0320078684757022
5,76.427136807,-0.2381357928543415,0.0104272411430081,1.878,-0.0312948246058715
6,76.467132611,-0.2381357923854699,0.0104272422789564,1.876,-0.0300684995335426
7,76.507132611,-0.2381357922202296,0.0104272421927682,1.875,-0.0286502918440605
8,76.619136226,-0.2381357923854699,0.0104272422789564,1.876,-0.0250306918873123
9,76.659126037,-0.2381357926658327,0.0104272423778781,1.877,-0.023839673953848
10,76.699120351,-0.2381357904820096,0.0215460374038711,1.878,-0.0230810983539787
11,76.727120351,-0.2305861822435164,0.0215460365852989,1.879,-0.0228629808052889
12,76.847122806,-0.2305861820782762,0.0215460364991104,1.878,-0.0237894382799065
13,76.93912163,-0.2381357906472496,0.0215460374900594,1.879,-0.024293836766112
14,76.999117456,-0.2381357909276127,0.0215460375889811,1.881,-0.0246688101854162
15,77.039111784,-0.2381357912348245,0.0215460371911657,1.882,-0.0250822405116882
16,77.067113615,-0.238135791423333,0.0215460365867126,1.883,-0.0254750233335754
17,77.087113615,-0.2381357915885731,0.021546036672901,1.884,-0.0257593493370188
18,77.119113615,-0.2381357918689364,0.0215460367718225,1.885,-0.0261262824340286
19,77.139116948,-0.2381357920341764,0.0215460362275942,1.887,-0.0264410933565443
20,77.167116948,-0.2381357918689364,0.0215460367718225,1.885,-0.0272496880446696
21,77.247117623,-0.2381357918689364,0.0215460367718225,1.885,-0.0294204879617945
22,77.33912385,-0.2381357918689364,0.0215460367718225,1.886,-0.029940126354086
23,77.379128703,-0.2381357920341764,0.0215460362275942,1.886,-0.0294552399174256
24,77.407124558,-0.238135792176148,0.0215460363740074,1.887,-0.0290341101240373
25,77.427124558,-0.238135792176148,0.0215460363740074,1.887,-0.0287665643406278
26,77.447124558,-0.2381357923413882,0.021546036460196,1.888,-0.0282574482484835
27,77.459124558,-0.2305861842412864,0.0215460343332986,1.889,-0.0282574482484835
28,77.479127915,-0.2305861844065264,0.0215460344194868,1.89,-0.0277978558729579
29,77.499127915,-0.2305861869440986,0.0104272382448125,1.891,-0.026918746016526
30,77.519126774,-0.2305861872244614,0.0104272377133171,1.892,-0.0264201416118703
31,77.539126774,-0.2230365786137509,0.0104272360924488,1.892,-0.0257593407076238
32,77.559126774,-0.2230365784252423,0.0104272366969018,1.891,-0.0252532471165244
33,77.579131636,-0.2230365782600021,0.0104272372411303,1.89,-0.0247397708249722
34,77.599131636,-0.2230365779796392,0.0104272371422087,1.889,-0.024460720664243
35,77.619131636,-0.2154869693188112,0.0104272354478851,1.888,-0.0242783575748396
36,77.639131636,-0.2154869690384482,0.0104272359793802,1.887,-0.0239687805350839
37,77.659126,-0.2079373603543519,0.0104272349756978,1.886,-0.0236357794054899
38,77.679127866,-0.2079373603543519,0.0104272349756978,1.886,-0.0232815357543852
39,77.699139479,-0.2003877519470382,0.0104272326161989,1.885,-0.0229737055483518
40,77.719137231,-0.2003877519470382,0.0104272326161989,1.885,-0.0225453335337743
41,77.739137231,-0.1928381430326964,0.0104272315870503,1.884,-0.0221830346656966
42,77.75913911,-0.1852885345371084,0.0104272299789152,1.884,-0.0217929648300916
43,77.779147761,-0.1777389261566437,0.0104272283835131,1.884,-0.0217012395888987
44,77.799147761,-0.1777389261566437,0.0104272283835131,1.884,-0.0215901846964365
45,77.819147761,-0.1701893173574244,0.0104272273670977,1.884,-0.0216686239158245
46,77.839139149,-0.162639709027077,0.010427225214734,1.884,-0.0218736079025383
47,77.859139149,-0.1550901006233436,0.0104272243099734,1.884,-0.0222655626145136
48,77.879139149,-0.147540492012633,0.010427222058688,1.884,-0.0227267461485301
49,77.899132039,-0.1399908835170453,0.0104272210809694,1.884,-0.0233652333644441
50,77.919132039,-0.1324412751133119,0.0104272195457919,1.884,-0.0240028991107236
51,77.939127931,-0.1248916665026014,0.0104272179249237,1.885,-0.0246675152522579
52,77.959127931,-0.1173420582139908,0.0104272164024794,1.884,-0.0252587160706128
53,77.979127931,-0.1097924491845259,0.0104272159910143,1.883,-0.0258739620498487
54,77.999127931,-0.1022428407539437,0.010427214322157,1.882,-0.0266670104172893
55,78.019123825,-0.094693232258356,0.0104272127140216,1.882,-0.0276596560792243
56,78.039123825,-0.0871436235975282,0.0104272110196981,1.881,-0.0282960507380248
57,78.059128721,-0.079594015078672,0.0104272101022044,1.881,-0.0290510078685725
58,78.079128721,-0.0720444065365473,0.0104272092449353,1.881,-0.0297405901225833
59,78.099128721,-0.0644947979491052,0.010427207563842,1.881,-0.0304473796536163
60,78.11913662,-0.0569451893801318,0.0104272065728932,1.88,-0.0312192659329437
61,78.13913662,-0.0493955809763984,0.0104272050377158,1.881,-0.0317254622190972
62,78.15913662,-0.0418459725309279,0.0104272028726188,1.881,-0.0320625833731091
63,78.17913702,-0.0342963639888032,0.0104272026457665,1.881,-0.0324564240055724
64,78.19913702,-0.026746755631607,0.0104272003597229,1.881,-0.0327805418583372
65,78.21913702,-0.0191971472779908,0.0104271995284175,1.882,-0.0331007709825177
66,78.239140423,-0.0116475387591346,0.010427197980507,1.882,-0.0331566692148321
67,78.259140423,-0.0040979303554011,0.0104271970757463,1.883,-0.0330422944090752
