Time,X Position,Y Position,Z Position
770.239538604,-0.23813586635894812,0.021545978129508203,1.885
770.239538604,-0.23813586619370808,0.021545978043319924,1.884
770.239538604,-0.23058625721077997,0.021545975620154922,1.882
770.239538604,-0.23058625702227142,0.021545976855024906,1.882
770.239538604,-0.23058625702227142,0.021545976855024906,1.881
770.239538604,-0.23058625702227142,0.021545976855024906,1.881
770.239538604,-0.23058625702227142,0.021545976855024906,1.881
770.239538604,-0.23058625702227142,0.021545976855024906,1.881
770.239538604,-0.23058625702227142,0.021545976855024906,1.881
770.239538604,-0.22303664806619228,0.02154597456553997,1.881
770.239538604,-0.22303664806619228,0.02154597456553997,1.881
770.239538604,-0.22303664806619228,0.02154597456553997,1.881
770.239538604,-0.22303664806619228,0.02154597456553997,1.881
770.239538604,-0.22303664806619228,0.02154597456553997,1.881
770.239538604,-0.22303664806619228,0.02154597456553997,1.881
770.239538604,-0.21548703880648157,0.02154597349819165,1.88
770.239538604,-0.21548703880648157,0.02154597349819165,1.88
770.239538604,-0.2154870386412413,0.021545974042420202,1.88
770.239538604,-0.2154870386412413,0.021545974042420202,1.879
770.239538604,-0.2154870386412413,0.021545974042420202,1.879
770.239538604,-0.2079374298504022,0.021545971839123434,1.88
770.239538604,-0.2079374298504022,0.021545971839123434,1.88
770.239538604,-0.2079374298504022,0.021545971839123434,1.881
770.239538604,-0.20793743013076527,0.021545971307628142,1.881
770.239538604,-0.200387821570172,0.021545970390631553,1.882
770.239538604,-0.200387821570172,0.021545970390631553,1.883
770.239538604,-0.20038782159702073,0.02154596989389479,1.883
770.239538604,-0.20038782159702073,0.02154596989389479,1.884
770.239538604,-0.19283821280618163,0.021545968321014963,1.884
770.239538604,-0.19283821280618163,0.021545968321014963,1.884
770.239538604,-0.19283821082933583,0.03266476595436618,1.885
770.239538604,-0.19283821082933583,0.03266476595436618,1.885
770.239538604,-0.18528860190010543,0.03266476505939486,1.886
770.239538604,-0.18528860190010543,0.03266476505939486,1.887
770.239538604,-0.18528860218046828,0.03266476452789957,1.887
770.239538604,-0.18528860218046828,0.03266476452789957,1.887
770.239538604,-0.18528860218046828,0.03266476452789957,1.887
770.239538604,-0.17773899333951215,0.032664762881564724,1.887
770.239538604,-0.17773899333951215,0.032664762881564724,1.887
770.239538604,-0.17773899333951215,0.032664762881564724,1.888
770.239538604,-0.17773899333951215,0.032664762881564724,1.888
770.239538604,-0.17773899333951215,0.032664762881564724,1.888
770.239538604,-0.17773899333951215,0.032664762881564724,1.887
770.239538604,-0.1701893843601643,0.03266476128272111,1.887
770.239538604,-0.1701893843601643,0.03266476128272111,1.887
770.239538604,-0.1701893843601643,0.03266476128272111,1.887
770.239538604,-0.1701893843601643,0.03266476128272111,1.887
770.239538604,-0.1701893843601643,0.03266476128272111,1.887
770.239538604,-0.1701893843601643,0.03266476128272111,1.887
770.239538604,-0.1701893843601643,0.03266476128272111,1.887
770.239538604,-0.16263977540408514,0.032664759623652895,1.887
770.239538604,-0.16263977521557638,0.03266476022810594,1.887
770.239538604,-0.16263977521557638,0.03266476022810594,1.886
770.239538604,-0.16263977521557638,0.03266476022810594,1.886
770.239538604,-0.16263977521557638,0.03266476022810594,1.886
770.239538604,-0.16263977521557638,0.03266476022810594,1.886
770.239538604,-0.16263977521557638,0.03266476022810594,1.887
770.239538604,-0.16263977540408514,0.032664759623652895,1.887
770.239538604,-0.1550901665398603,0.03266475866795937,1.887
770.239538604,-0.1550901665398603,0.03266475866795937,1.888
770.239538604,-0.15509016684349186,0.032664757445822645,1.888
770.239538604,-0.15509016684349186,0.032664757445822645,1.888
770.239538604,-0.15509016684349186,0.032664757445822645,1.889
770.239538604,-0.14754055777587016,0.03266475722875961,1.889
770.239538604,-0.14754055777587016,0.03266475722875961,1.889
770.239538604,-0.14754055777587016,0.03266475722875961,1.889
770.239538604,-0.13999094893491382,0.03266475495200771,1.889
770.239538604,-0.13999094893491382,0.03266475495200771,1.889
770.239538604,-0.13999094893491382,0.03266475495200771,1.889
770.239538604,-0.1324413399287172,0.032664753849900974,1.889
770.239538604,-0.13244134195568047,0.021545956290005108,1.889
770.239538604,-0.12489173297633283,0.021545954691161495,1.889
770.239538604,-0.12489173297633283,0.021545954691161495,1.889
770.239538604,-0.11734212413537648,0.021545953044826427,1.889
770.239538604,-0.11734212413537648,0.021545953044826427,1.889
770.239538604,-0.10979251504090604,0.021545952063666607,1.889
770.239538604,-0.10224290648031276,0.02154594988583647,1.889
770.239538604,-0.10224290648031276,0.02154594988583647,1.889
770.239538604,-0.09469329752423361,0.02154594822676803,1.889
770.239538604,-0.08714368842976294,0.02154594724560821,1.889
770.239538604,-0.08714368842976294,0.02154594724560821,1.889
770.239538604,-0.0795940794504153,0.02154594564676482,1.889
770.239538604,-0.07204447060945895,0.02154594400042975,1.889
770.239538604,-0.06449486163011131,0.02154594303200319,1.889
770.239538604,-0.0569452524855234,0.02154594197738824,1.889
770.239538604,-0.04939564362129878,0.021545941021694492,1.888
770.239538604,-0.04939564362129878,0.021545941021694492,1.888
770.239538604,-0.04184603455009661,0.02154593871947641,1.888
770.239538604,-0.03429642554390022,0.02154593761736967,1.887
770.239538604,-0.02674681679479818,0.021545936674409738,1.887
770.239538604,-0.019197207585204712,0.021545935050099607,1.887
770.239538604,-0.011647598720979868,0.021545934094406305,1.887
770.239538604,-0.004097989714783701,0.021545932361882736,1.887
770.239538604,0.003451619518078486,0.02154593205863109,1.886
770.239538604,0.011001226470462755,0.010427134160725382,1.886
770.239538604,0.0185508353114191,0.010427132514390092,1.886
770.239538604,0.033650053550477566,0.01042713047861521,1.886
770.239538604,0.04119966227631089,0.010427128214596681,1.885
770.239538604,0.04874927139404994,0.010427127924078516,1.885
770.239538604,0.05629888040024644,0.010427126821971666,1.885
770.239538604,0.06384848926447129,0.010427125235861645,1.884
770.239538604,0.07894770748026114,0.010427122509445219,1.884
770.239538604,0.08649731636775448,0.010427122244393239,1.883
770.239538604,0.09404692551234228,0.010427121189778066,1.883
770.239538604,0.10159653435329863,0.01042711954344322,1.882
770.239538604,0.11669575245038533,0.01042711765408133,1.882
770.239538604,0.12424536136472741,0.010427116624933008,1.881
770.239538604,0.13179497032080667,0.010427115596281289,1.881
770.239538604,0.13934457930015431,0.010427113997437898,1.881
770.239538604,0.15444379571564637,-0.0006916854900196334,1.881
770.239538604,0.16199340474511126,-0.0006916865319015475,1.881
770.239538604,0.16954301372445912,-0.0006916875003279976,1.88
770.239538604,0.1846422316831544,-0.000691689437181342,1.88
770.239538604,0.19219184057064775,-0.0006916903326499302,1.88
770.239538604,0.20729105850607454,-0.0006916929601450406,1.88
770.239538604,0.2148406675086909,-0.0006916932379299467,1.88
770.239538604,0.22239027660316135,-0.0006916948495065967,1.88
770.239538604,0.23748949421648824,-0.0006916967481600533,1.881
770.239538604,0.24503910331095868,-0.0006916977293200954,1.881
770.239538604,0.2601383212929227,-0.0006916996059485037,1.881
770.239538604,0.26768793038739314,-0.0006917005871085458,1.881
770.239538604,0.2752375392748865,-0.0006917008521605261,1.881
770.239538604,0.2903367573719733,-0.0006917027415220822,1.881
770.239538604,0.29788636623619813,-0.0006917036972153845,1.881
770.239538604,0.3129855840797706,-0.000691705621335359,1.881
770.239538604,0.320535193009001,-0.0006917071467236191,1.881
770.239538604,0.3356344108525735,-0.0006917090708440377,1.881
770.239538604,0.34318401974006685,-0.0006917099663124038,1.881
770.239538604,0.35828323650092764,-0.011810507600719333,1.882
770.239538604,0.36583284556854934,-0.011810508448199197,1.882
770.239538604,0.3733824544327742,-0.011810509403892944,1.883
770.239538604,0.3884816722262294,-0.011810511884974506,1.883
770.239538604,0.39603128122884557,-0.011810512162759412,1.883
770.239538604,0.4111304992108096,-0.01181051403938782,1.883
770.239538604,0.4186801080983029,-0.011810514304439801,1.883
770.239538604,0.4337793261953896,-0.011810515563384527,1.883
770.239538604,0.44132893508288296,-0.011810516458853115,1.883
770.239538604,0.448878544200622,-0.011810516749371613,1.883
770.239538604,0.4639777622744403,-0.011810518698958106,1.883
770.239538604,0.47152737104681075,-0.011810519581693324,1.883
770.239538604,0.48662658925902036,-0.01181052085337142,1.883
770.239538604,0.4941761981465137,-0.0118105211184234,1.883
770.239538604,0.5092754161517461,-0.011810522304410487,1.883
770.239538604,0.5168250250392394,-0.011810522569462023,1.884
770.239538604,0.5319242429710861,-0.011810524372635633,1.884
770.239538604,0.5394738518353109,-0.011810525328328936,1.884
770.239538604,0.5545730698405433,-0.0118105265143158,1.884
770.239538604,0.5621226787047682,-0.011810527470009324,1.884
770.239538604,0.5696722877306529,-0.011810527057152687,1.884
770.239538604,0.5847715057358853,-0.011810528243139329,1.884
770.239538604,0.5923211148536245,-0.011810528533657827,1.884
770.239538604,0.6074203327204655,-0.011810529767136257,1.884
770.239538604,0.6149699417230816,-0.011810530675337994,1.885
770.239538604,0.6225195505371892,-0.011810532187992884,1.885
770.239538604,0.6376187684272987,-0.01181053273082977,1.885
770.239538604,0.6451683776601607,-0.011810533034081416,1.886
770.239538604,0.6602675955234214,-0.011810533443238125,1.886
770.239538604,0.6678172043876462,-0.011810534398931871,1.886
770.239538604,0.6829164222777558,-0.011810535572185366,1.886
770.239538604,0.6904660314187634,-0.011810535172061876,1.886
770.239538604,0.6980156405132341,-0.011810536153221918,1.886
770.239538604,0.713114858426612,-0.01181053663583409,1.886
770.239538604,0.7206644674292282,-0.011810536913618996,1.886
770.239538604,0.7357636853694551,-0.011810537529911125,1.886
770.239538604,0.7433132943720713,-0.011810537807696031,1.885
770.239538604,0.7508629040201764,-0.0006917416336200688,1.885
770.239538604,0.765962121753426,-0.0006917421642205213,1.884
770.239538604,0.773511730871165,-0.0006917424547387974,1.884
770.239538604,0.788610948696269,-0.0006917430582977779,1.884
770.239538604,0.7961605576988853,-0.0006917433360826841,1.883
770.239538604,0.8037101667748872,-0.0006917429966812882,1.883
770.239538604,0.8188093846649968,-0.0006917435395181748,1.882
770.239538604,0.8263589935524901,-0.000691744434986985,1.882
770.239538604,0.8339086026934976,-0.0006917440348634951,1.882
770.239538604,0.8490078204684843,-0.0006917445649672338,1.882
770.239538604,0.8565574293792463,-0.000691744769794056,1.882
770.239538604,0.8716566474345959,-0.0006917453988193323,1.882
770.239538604,0.8792062564604807,-0.0006917449859629166,1.882
770.239538604,0.8867558654630969,-0.0006917452637478227,1.881
770.239538604,0.9018550832613521,-0.0006917451032100175,1.881
770.239538604,0.9094046922639683,-0.0006917460114115315,1.881
770.239538604,0.9245039101773463,-0.0006917458636070961,1.881
770.239538604,0.9320535191799625,-0.0006917461413920023,1.881
770.239538604,0.9396031282291157,-0.0006917456683106504,1.881
770.239538604,0.9547023462343482,-0.0006917462238806849,1.881
770.239538604,0.9622519550299872,-0.0006917457855579734,1.881
770.239538604,0.9698015639174805,-0.0006917466810261175,1.881
770.239538604,0.9849007818809759,-0.0006917459762600942,1.881
770.239538604,0.9924503908150062,-0.0006917454904455944,1.881
770.239538604,0.9999999999327454,-0.0006917457809636485,1.88
770.239538604,1.0150992177310005,-0.0006917456204256212,1.88
770.239538604,1.0226488267336167,-0.0006917465286275792,1.88
770.239538604,1.03019843578277,-0.0006917454251293975,1.88
770.239538604,1.0377480447203806,-0.0006917457636361757,1.88
770.239538604,1.0528472625186358,-0.0006917456030981484,1.88
770.239538604,1.0603968716596435,-0.0006917458333917104,1.879
770.239538604,1.0679464805704053,-0.0006917454078021468,1.879
770.239538604,1.083045698598906,-0.0006917452727306372,1.879
770.239538604,1.0905953073945451,-0.0006917454648243115,1.879
770.239538604,1.0981449164204298,-0.0006917450519678958,1.879
770.239538604,1.113244134333808,-0.0006917449041630164,1.879
770.239538604,1.120793743129447,-0.0006917450962569127,1.879
770.239538604,1.128343352408846,-0.0006917440182250267,1.879
770.239538604,1.1434425702071012,-0.0006917438576872215,1.879
770.239538604,1.1509921793481088,-0.0006917440879805614,1.879
770.239538604,1.1585417881204791,-0.0006917443402989498,1.879
770.239538604,1.1736410060571258,-0.0006917435018527485,1.879
770.239538604,1.1811906151563962,-0.0006917424718098086,1.879
770.239538604,1.188740223813644,-0.000691743341811879,1.879
770.239538604,1.2038394418421448,-0.0006917432067403695,1.878
770.239538604,1.2113890511667922,-0.01181053865696935,1.878
770.239538604,1.2189386603077998,-0.011810538256846081,1.878
770.239538604,1.226488269356953,-0.01181053778376473,1.879
770.239538604,1.2415874872434822,-0.011810537502280116,1.879
770.239538604,1.2491370962693669,-0.011810536459006649,1.879
770.239538604,1.256686705180129,-0.01181053666383347,1.879
770.239538604,1.2717859231167754,-0.011810536455803877,1.879
770.239538604,1.2793355321426603,-0.011810535412530632,1.879
770.239538604,1.2868851411918134,-0.01181053493944928,1.879
770.239538604,1.3019843588982143,-0.011810534705953168,1.88
770.239538604,1.3095339681543448,-0.011810534318563048,1.88
770.239538604,1.3170835770149893,-0.011810533819518021,1.88
770.239538604,1.3321827950900271,-0.011810532933580253,1.88
770.239538604,1.339732403862398,-0.011810533185898864,1.88
770.239538604,1.3472820130266738,-0.01181053272555066,1.881
770.239538604,1.3623812307980803,-0.011810531800915847,1.881
770.239538604,1.3699308400774792,-0.011810530722884405,1.881
770.239538604,1.3774804488731183,-0.011810530914977857,1.881
770.239538604,1.3925796669248878,-0.011810530089265026,1.881
770.239538604,1.400129275858918,-0.011810528973033474,1.881
770.239538604,1.40767888476968,-0.011810529177860296,1.881
770.239538604,1.4152284938188333,-0.011810528074362114,1.881
770.239538604,1.4303277117554798,-0.011810527235915913,1.881
770.239538604,1.437877320804633,-0.011810526762834561,1.882
770.239538604,1.445426929715395,-0.011810526337244553,1.882
770.239538604,1.4605261478137015,-0.01181052413024819,1.882
770.239538604,1.4680757567894689,-0.011810524274353362,1.882
770.239538604,1.4756253657234992,-0.011810523158122033,1.882
770.239538604,1.4907245836834144,-0.011810522259450895,1.882
770.239538604,1.4982741925941763,-0.01181052183386111,1.882
770.239538604,1.5133734106924828,-0.011810520257281576,1.882
770.239538604,1.5209230196032446,-0.011810519831691568,1.882
770.239538604,1.5284726285641237,-0.011810518849140417,1.882
770.239538604,1.5435718465473074,-0.011810517259827513,1.881
770.239538604,1.5511214555964605,-0.011810516786746161,1.881
770.239538604,1.5586710643038255,-0.011810516469370036,1.881
770.239538604,1.573770282402132,-0.011810514892790502,1.88
770.239538604,1.5813198911327653,-0.011810513884772611,1.879
770.239538604,1.58886950000179,-0.011810512829262931,1.879
770.239538604,1.6039687181000966,-0.011810510622266568,1.878
770.239538604,1.6115183270609756,-0.011810510270132024,1.877
770.239538604,1.619067937034623,-0.022929306427674323,1.877
770.239538604,1.6266175459686536,-0.02292930531144277,1.876
770.239538604,1.641716763863563,-0.022929303843076898,1.876
770.239538604,1.6492663727743249,-0.022929304047903942,1.875
770.239538604,1.6568159817817412,-0.02292930168406926,1.875
770.239538604,1.6719151997649246,-0.022929300094756577,1.874
770.239538604,1.6794648086756865,-0.02292929966916657,1.874
770.239538604,1.6870144175214428,-0.022929299304298656,1.873
770.239538604,1.702113635643018,-0.02292929640666075,1.873
770.239538604,1.7096632444619253,-0.0229292959081131,1.873
770.239538604,1.7247624623801034,-0.02292929374910546,1.873
770.239538604,1.7323120713141338,-0.02292929263287391,1.872
770.239538604,1.7398616802248958,-0.022929292207284124,1.872
770.239538604,1.7549608983464706,-0.022929289309646217,1.872
770.239538604,1.7625105071003726,-0.02292928887182022,1.871
770.239538604,1.7700601162646488,-0.022929287150638578,1.871
770.239538604,1.7851593341327094,-0.022929285548592748,1.871
770.239538604,1.7927089429784657,-0.022929284553307783,1.871
770.239538604,1.8002585519357646,-0.02292928337685174,1.87
770.239538604,1.8153577698038252,-0.02292928177480591,1.87
770.239538604,1.8229073788529786,-0.022929280671307506,1.87
770.239538604,1.830456987787009,-0.022929279555076176,1.87
770.239538604,1.8455562057284556,-0.022929276705426993,1.87
770.239538604,1.8531058146392172,-0.022929276279836985,1.87
770.239538604,1.8606554235965163,-0.022929274472964112,1.87
770.239538604,1.875754641464577,-0.022929272870918282,1.87
770.239538604,1.8833042508322502,-0.02292927167193959,1.87
770.239538604,1.8908538596278892,-0.022929271233616877,1.87
770.239538604,1.9059530775192184,-0.02292926831051223,1.87
770.239538604,1.9135026865916402,-0.022929267146789334,1.87
770.239538604,1.9210522957559162,-0.0229292660560243,1.87
770.239538604,1.9361515135321228,-0.022929263120186505,1.87
770.239538604,1.943701122696399,-0.022929262659838523,1.87
770.239538604,1.958800340472605,-0.02292925972400095,1.87
770.239538604,1.9663499496368813,-0.022929258633236138,1.87
770.239538604,1.9738995585941803,-0.022929257456779872,1.87
770.239538604,1.9889987765773638,-0.02292925523705014,1.87
770.239538604,1.9965483855579313,-0.02292925273953572,1.87
770.239538604,2.0040979944919615,-0.022929252253721,1.87
770.239538604,2.0191972124984137,-0.022929249343349944,1.87
