Time,X Position,Y Position,Z Position,yaw
539.725182754,-0.25323509053072324,0.0326647724706951,2.056,0.02351971682929387
539.837190673,-0.2532350906959633,0.03266477255688338,2.057,0.02247979851514011
539.897187311,-0.2532350906959633,0.03266477255688338,2.057,0.021943571774720564
539.945192949,-0.2532350906959633,0.03266477255688338,2.057,0.021200707331702182
539.977194086,-0.2532350906959633,0.03266477255688338,2.057,0.02087659591440377
540.037198994,-0.2532350907460805,0.032664771999921904,2.058,0.01996486813147055
540.077198628,-0.25323509128353816,0.03266477225799003,2.06,0.019088235856767725
540.165191895,-0.2532350910264436,0.03266477209884333,2.058,0.017713456967064247
540.205191895,-0.2532350906959633,0.03266477255688338,2.057,0.017111484567303808
540.245200159,-0.25323509053072324,0.0326647724706951,2.056,0.016298081736128848
540.29719679,-0.2532350907460805,0.032664771999921904,2.057,0.015027777099488875
540.317196421,-0.2532350910264436,0.03266477209884333,2.059,0.014500150029147403
540.337196421,-0.25323509149889545,0.03266477241763366,2.062,0.01375933658246963
540.35719605,-0.25323509196776706,0.03266477128168521,2.064,0.012936059651660193
540.37719605,-0.2607847015114211,0.03266477327227679,2.067,0.011971220766782855
540.39719605,-0.25323509302421354,0.03266477047726024,2.068,0.010743276950315865
540.437191179,-0.25323509302421354,0.03266477047726024,2.069,0.00854688040033315
540.465191179,-0.253235092720582,0.032664771068980136,2.068,0.0068589719934814795
540.525193436,-0.253235092720582,0.032664771068980136,2.067,0.004358928949911579
540.577209941,-0.25323509302421354,0.03266477047726024,2.068,0.0027244554812794614
540.617215566,-0.2532350931894538,0.03266477056344852,2.07,0.001330192354683259
540.657215566,-0.25323509344654815,0.032664770092178164,2.071,0.0002366244964076161
540.697215189,-0.2532350934966656,0.032664770165633294,2.072,-0.0009350277243237798
540.725214812,-0.25323509377702846,0.03266477026455494,2.073,-0.001377507652295611
540.757214812,-0.25323509394226873,0.03266477035074311,2.074,-0.002055499393721509
540.797208435,-0.24568548498618936,0.032664768061258176,2.074,-0.0026885716855028228
540.817208435,-0.24568548467897777,0.0326647684590734,2.072,-0.003134083618702372
540.825205056,-0.2456854845137375,0.0326647683728849,2.071,-0.003094929926880948
540.845213677,-0.24568548421010594,0.03266476896460502,2.07,-0.001935805806344381
540.865222297,-0.24568548421010594,0.03266476896460502,2.07,-1.71313865273601e-05
540.885222297,-0.24568548421010594,0.03266476896460502,2.069,0.0021685869447694846
540.917218916,-0.238135875138904,0.03266476729280354,2.069,0.006556007574339462
540.937218916,-0.238135875138904,0.03266476729280354,2.07,0.010519955167576601
540.957218916,-0.238135875138904,0.03266476729280354,2.07,0.014007826228859207
540.977215534,-0.23058626646318792,0.03266476510223992,2.071,0.016318672780289655
540.997215534,-0.23058626646318792,0.03266476510223992,2.071,0.01873816304236046
541.017215534,-0.23058626674355098,0.03266476520116157,2.072,0.02107344272248095
541.037212151,-0.22303665795271188,0.03266476299786514,2.072,0.022476388739319682
541.057212151,-0.22303665795271188,0.03266476299786514,2.073,0.023392107534791304
541.077204268,-0.22303665797956063,0.032664763761962035,2.074,0.024373823802772202
541.097204268,-0.21548704888509018,0.032664762150385274,2.074,0.02489095022460344
541.117204268,-0.21548704885824121,0.03266476201670532,2.073,0.025137447651966287
541.137200884,-0.20793743978703927,0.03266476034490351,2.073,0.025277149895710713
541.157200884,-0.20793743992901081,0.03266476049131706,2.073,0.025315223282996277
541.177198999,-0.20038783108805447,0.03266475884498177,2.074,0.025257532554749034
541.197201614,-0.20038783108805447,0.03266475884498177,2.074,0.02514508958771257
541.217201614,-0.19283822199358402,0.03266475786382195,2.073,0.02484170342734061
541.237198228,-0.19283822185161226,0.0326647570869919,2.073,0.024540184251163385
541.257198228,-0.18528861270702457,0.03266475603237706,2.072,0.024036924971582208
541.277203841,-0.17773900358570516,0.032664754917537175,2.071,0.02354678839968706
541.297207954,-0.1777390033053421,0.03266475481861553,2.07,0.022987840671625986
541.317207954,-0.17018939421087165,0.03266475320703888,2.069,0.022606255715598593
541.337207954,-0.16263978508955246,0.03266475209219899,2.068,0.021976034752966528
541.357204566,-0.15509017594496455,0.03266475103758382,2.068,0.021397780066929547
541.377207177,-0.15509017577972428,0.032664750951395316,2.067,0.020800456312474375
541.397207177,-0.14754056870863685,0.021545950955600968,2.066,0.020244265066391647
541.417208288,-0.1399909597525577,0.021545949296532863,2.066,0.019767694570671547
541.437208288,-0.1399909597525577,0.021545949296532863,2.066,0.01916741362256425
541.457204898,-0.1324413509151816,0.021545949104936013,2.067,0.018714534463680058
541.477204898,-0.12489174200921971,0.02154594688890621,2.068,0.018244663579571597
541.497204898,-0.11734213333350363,0.02154594469834281,2.069,0.017807921449108585
541.517210116,-0.11734213349874367,0.021545944784531312,2.07,0.01749368983987627
541.537210116,-0.10979252445439047,0.021545943246409682,2.07,0.01702917001706763
541.557206724,-0.10224291561343413,0.021545941600074836,2.071,0.016658594230268924
541.577206724,-0.09469330460712322,0.03266473819154414,2.071,0.01645580214125935
541.597206724,-0.09469330663408648,0.021545940001231223,2.07,0.01682309727588324
541.617204831,-0.087143697232404,0.02154593878746991,2.069,0.018424564236503366
541.637204831,-0.0795940879726933,0.02154593772012159,2.068,0.02027033209805046
541.657199938,-0.07204447894322841,0.021545936678239563,2.067,0.023364147126002044
541.677199938,-0.0644948695916634,0.02154593553793338,2.066,0.027319751276935287
541.697199938,-0.06449486940315463,0.021545936142386424,2.065,0.03307284453505586
541.717196544,-0.05694526056219851,0.021545934496051355,2.065,0.03870098165079677
